Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_3_103_4	-0.538	0.205	1231.6592	319.1774	2.5998	392.6143	14.685	10.1816	29.3697	3.5568	380.4767	28.9151	2.0078	635
E560A3_3_104_3	-1.376	-1.991	1497.9498	300.0143	2.6005	447.0648	14.7433	12.1651	26.3543	2.4444	367.5345	26.4157	2.1045	425
E560A3_3_106_2	-0.765	1.394	1226.2347	311.2412	2.6811	373.3167	21.1881	8.4274	30.3255	4.0947	397.1167	28.0763	1.9206	645
E560A3_3_106_5	-0.754	0.639	1307.3487	294.6888	2.5476	384.4232	25.3911	7.0313	29.2167	4.2922	390.2625	27.0254	1.8992	490
E560A3_3_108_4	0.886	-1.021	1399.3689	312.7817	2.6098	435.6445	14.1603	11.8842	28.3281	3.4431	365.1801	26.1953	2.1157	430
E560A3_3_109_4	-0.165	-2.81	1244.2631	325.0269	2.5227	399.9355	20.7574	8.3146	30.4399	3.5739	376.1665	27.7558	2.0468	610
E560A3_3_110_1	-0.265	-0.912	1275.3638	318.9446	2.6184	406.8685	13.6523	11.3889	31.3881	3.6776	373.8478	25.8473	2.0417	550
E560A3_3_110_4	-0.333	-0.726	1133.074	362.7763	2.6029	404.857	13.4661	11.0893	31.9233	3.3855	350.4655	29.0709	2.1718	470
E560A3_3_111_3	1.398	-1.411	1554.6933	266.1897	2.5911	415.8062	16.8373	10.1591	27.2199	1.9824	402.5045	24.2697	1.8992	330
E560A3_3_111_4	-0.492	-1.482	1308.0307	345.4586	2.6001	449.9584	17.1596	11.1079	28.2924	3.4417	338.6825	28.1587	2.2635	510
E560A3_3_112_3	2.515	-0.417	1096.1541	346.4737	2.4963	380.5671	26.3334	6.7806	33.6763	4.125	374.3509	28.0801	2.0478	500
E560A3_3_113_4	-0.262	-3.013	1154.0691	340.0715	2.6023	391.9055	19.2524	9.1148	31.3027	3.8905	370.0618	29.0457	2.0682	640
E560A3_3_114_1	3.558	-1.304	1365.1773	305.3867	2.6468	416.8382	13.127	12.3445	27.7417	2.8125	375.311	27.4467	2.034	390
E560A3_3_115_2	-0.588	-2.402	1268.9077	311.8257	2.5412	394.5663	21.0573	8.134	30.091	2.9888	379.07	27.0984	1.985	450
E560A3_3_116_1	-2.133	-0.817	1183.5653	326.576	2.6042	385.338	20.15	8.5776	32.3669	3.4236	380.8719	27.2501	2.0009	420
E560A3_3_116_4	-3.479	-2.015	1206.7979	339.6223	2.5485	406.8315	25.2134	7.1552	30.7429	3.3472	360.6515	27.8853	2.1112	405
E560A3_3_117_1	-0.893	0.71	1193.9578	303.6768	2.581	360.461	20.0113	8.1108	31.5765	4.2066	407.5101	27.7594	1.8547	530
E560A3_3_117_4	-20.271	9.79	1315.2679	299.9626	2.574	395.5118	20.7143	8.8215	30.1775	2.563	391.7923	26.0695	1.9526	510
E560A3_3_118_3	1.843	-0.567	1418.8662	267.1578	2.6182	371.86	18.0697	9.2492	27.5028	3.88	418.6652	26.9082	1.7686	460
E560A3_3_118_5	1.69	-0.818	1312.4511	323.5261	2.6057	421.2122	18.947	9.6633	30.035	3.0526	360.9652	26.4126	2.098	470
E560A3_3_119_1	-2.328	-1.626	1400.6073	271.7669	2.6159	379.9333	18.7882	9.2928	28.8658	4.0141	418.4505	25.6919	1.8146	560
E560A3_3_119_3	-0.616	-1.208	1360.3578	290.9641	2.6298	396.5843	16.9306	9.7812	29.0347	3.8937	389.8622	26.2653	1.9238	530
